Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier 1,Supplier Part Number 1
24,1,D13,GREEN,https://www.bivar.com/parts_content/Datasheets/SM1206NPGC-IL.pdf,LED_SM1206,Light emitting diode,Bivar Inc.,SM1206NPGC-IL,Digikey,492-1945-1-ND
25,2,D24 D25,PESD2CANFD24V-UX,https://assets.nexperia.com/documents/data-sheet/PESD2CANFD24V-U.pdf,SOT95P230X117-3N,ESD Suppressors / TVS Diodes PESD2CANFD24V-UX,Nexperia USA Inc.,PESD2CANFD24V-UX,Digikey,1727-PESD2CANFD24V-UXCT-ND
26,2,D18 D26,PESD4USB3U-TBSX,https://assets.nexperia.com/documents/data-sheet/PESD4USB3U-TBS.pdf,SOT1176D,"3.5V (Typ) Clamp 7A (8/20µs) Ipp Tvs Diode Surface Mount, Wettable Flank DFN2510D-10",Nexperia USA Inc.,PESD4USB3U-TBSX,Digikey,1727-PESD4USB3U-TBSXCT-ND
27,2,D16 D17,PESD4USB5B-TBSX,https://assets.nexperia.com/documents/data-sheet/PESD4USB5B-TBS.pdf,SOT1176D,"5.5V (Typ) Clamp 7A (8/20µs) Ipp Tvs Diode Surface Mount, Wettable Flank DFN2510D-10",Nexperia USA Inc.,PESD4USB5B-TBSX,Digikey,1727-PESD4USB5B-TBSXCT-ND
28,2,D1 D2,SMBJ51CD-M3/H,https://www.vishay.com/docs/87606/smbj5cdthrusmbj120cd.pdf,DIOM4336X24N,ESD Suppressors / TVS Diodes 51V 600W Bidir TransZorb 3.5% Tol,Vishay,SMBJ51CD-M3/H,Digikey,SMBJ51CD-M3/HGICT-ND
29,1,D12,YELLOW,https://www.bivar.com/parts_content/Datasheets/SM1206NYC-IL.pdf,LED_SM1206,Light emitting diode,Bivar Inc.,SM1206NYC-IL,Digikey,492-1947-1-ND
30,4,FB1 FB2 FB3 FB4,1k @ 100MHz,https://www.we-online.com/katalog/datasheet/742792096.pdf,R_0805_2012_DensityHigh,Ferrite bead,Würth Elektronik,742792096,Digikey,732-4648-1-ND
31,2,J12 J13,Nano-Fit 1x03,https://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1223.PDF,1054301203,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Molex,1054301203,Digikey,WM26098CT-ND
32,2,J8 J9,S2B-PH-SM4-TB,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,"Generic connector, single row with mounting pin",JST Sales America Inc.,S2B-PH-SM4-TB,Digikey,455-S2B-PH-SM4-TBCT-ND
33,1,J14,SM05B-GHS-TB,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,"Generic connector, single row, 01x05 with mounting pin",JST Sales America Inc.,SM05B-GHS-TB,Digikey,455-SM05B-GHS-TBCT-ND
